epoch,loss,ber,perfect_recoveries
1,1.1131072044372559,0.486083984375,0
2,0.7048777341842651,0.47509765625,0
3,0.6922003030776978,0.476806640625,0
4,0.6913787126541138,0.470458984375,0
5,0.6908350586891174,0.464599609375,0
6,0.6903252601623535,0.464599609375,0
7,0.6897428631782532,0.464111328125,0
8,0.6890819668769836,0.462646484375,0
9,0.6883381009101868,0.460693359375,0
10,0.6875118613243103,0.461669921875,0
11,0.6866097450256348,0.45654296875,0
12,0.685640275478363,0.453857421875,0
13,0.68461012840271,0.451904296875,0
14,0.6835220456123352,0.449951171875,0
15,0.6823782920837402,0.447998046875,0
16,0.6811844706535339,0.446533203125,0
17,0.6799495220184326,0.440185546875,0
18,0.6786867380142212,0.439697265625,0
19,0.6773937940597534,0.439208984375,0
20,0.6760825514793396,0.435791015625,0
21,0.6747607588768005,0.434326171875,0
22,0.6734364628791809,0.431884765625,0
23,0.6721153259277344,0.427490234375,0
24,0.6707993745803833,0.426513671875,0
25,0.6694903373718262,0.424560546875,0
26,0.6681897640228271,0.424072265625,0
27,0.666900634765625,0.421875,0
28,0.6656256318092346,0.417724609375,0
29,0.6643668413162231,0.416259765625,0
30,0.6631251573562622,0.40966796875,0
31,0.6619007587432861,0.406494140625,0
32,0.6606940031051636,0.404052734375,0
33,0.6595044732093811,0.404052734375,0
34,0.6583325862884521,0.402587890625,0
35,0.657178521156311,0.402099609375,0
36,0.6560425758361816,0.398193359375,0
37,0.6549244523048401,0.395263671875,0
38,0.6538246870040894,0.394287109375,0
39,0.6527437567710876,0.391357421875,0
40,0.6516827344894409,0.390380859375,0
41,0.6506523489952087,0.388916015625,0
42,0.6496762037277222,0.387939453125,0
43,0.6486165523529053,0.385986328125,0
44,0.647645115852356,0.383056640625,0
45,0.6467125415802002,0.3828125,0
46,0.6457926034927368,0.382568359375,0
47,0.6448819637298584,0.379638671875,0
48,0.6439965963363647,0.377685546875,0
49,0.6431479454040527,0.376708984375,0
50,0.6423323154449463,0.375,0
51,0.6415449380874634,0.374755859375,0
52,0.6407855749130249,0.375,0
53,0.640055775642395,0.3740234375,0
54,0.639355480670929,0.373779296875,0
55,0.638683557510376,0.37158203125,0
56,0.6380404829978943,0.371337890625,0
57,0.6374280452728271,0.370361328125,0
58,0.6368457078933716,0.370849609375,0
59,0.636290967464447,0.370849609375,0
60,0.6357632279396057,0.370849609375,0
61,0.6352623701095581,0.3701171875,0
62,0.6347872018814087,0.36962890625,0
63,0.6343365907669067,0.368896484375,0
64,0.6339098215103149,0.369384765625,0
65,0.6335060596466064,0.36865234375,0
66,0.633124053478241,0.3681640625,0
67,0.6327624917030334,0.367919921875,0
68,0.632420539855957,0.367919921875,0
69,0.6320972442626953,0.366455078125,0
70,0.6317915916442871,0.36669921875,0
71,0.6315025687217712,0.366943359375,0
72,0.6312292814254761,0.36669921875,0
73,0.630970299243927,0.366455078125,0
74,0.6307255625724792,0.36669921875,0
75,0.630494236946106,0.366455078125,0
76,0.6302745342254639,0.36669921875,0
77,0.6300667524337769,0.36669921875,0
78,0.6298699975013733,0.36669921875,0
79,0.6296834945678711,0.36669921875,0
80,0.6295065879821777,0.36669921875,0
81,0.6293385028839111,0.366455078125,0
82,0.6291791200637817,0.366455078125,0
83,0.6290275454521179,0.365966796875,0
84,0.6288833022117615,0.365966796875,0
85,0.6287463903427124,0.365966796875,0
86,0.6286160349845886,0.36572265625,0
87,0.6284922361373901,0.36474609375,0
88,0.6283740997314453,0.36474609375,0
89,0.6282613277435303,0.36474609375,0
90,0.6281538009643555,0.36474609375,0
91,0.6280511617660522,0.365234375,0
92,0.6279534101486206,0.364990234375,0
93,0.6278597712516785,0.36572265625,0
94,0.6277700662612915,0.365478515625,0
95,0.6276842355728149,0.365478515625,0
96,0.6276024580001831,0.36474609375,0
97,0.6275240182876587,0.364990234375,0
98,0.6274486780166626,0.365478515625,0
99,0.6273763179779053,0.364990234375,0
100,0.6273069977760315,0.365234375,0
101,0.6272401809692383,0.36572265625,0
102,0.6271758079528809,0.36572265625,0
103,0.6271141171455383,0.364990234375,0
104,0.6270551085472107,0.364990234375,0
105,0.6269978284835815,0.36474609375,0
106,0.6269422769546509,0.364501953125,0
107,0.6268890500068665,0.36376953125,0
108,0.6268375515937805,0.3642578125,0
109,0.6267876625061035,0.364501953125,0
110,0.626739501953125,0.364990234375,0
111,0.6266923546791077,0.364990234375,0
112,0.6266472935676575,0.36572265625,0
113,0.6266032457351685,0.365478515625,0
114,0.6265599727630615,0.365234375,0
115,0.626518189907074,0.36474609375,0
116,0.6264774799346924,0.364013671875,0
117,0.6264376044273376,0.364013671875,0
118,0.6263993978500366,0.364013671875,0
119,0.626361608505249,0.364501953125,0
