condition,window,subband,statistic,target0_mean,target0_std,target1_mean,target1_std,standardized_mean_difference
resize25,3x3,LH2,center_phase,0.35067570209503174,0.366605281829834,0.3637048304080963,0.37043625116348267,0.03535473346710205
resize25,3x3,LH2,minimum_distance_to_bit0_lattice,0.02393750473856926,0.0373690128326416,0.024066701531410217,0.03822741657495499,0.0034178458154201508
resize25,3x3,LH2,minimum_distance_to_bit1_lattice,0.225409597158432,0.19878606498241425,0.2226470410823822,0.19749535620212555,-0.013942321762442589
resize25,3x3,LH2,neighborhood_phase_mean,0.35175561904907227,0.23947569727897644,0.36196374893188477,0.23434971272945404,0.043085627257823944
resize25,3x3,LH2,neighborhood_phase_std,0.23376980423927307,0.150374636054039,0.24498504400253296,0.1475197672843933,0.07529328763484955
resize25,3x3,LH2,neighborhood_phase_min,0.05256268382072449,0.10016965121030807,0.053317684680223465,0.10172765702009201,0.0074788355268538
resize25,3x3,LH2,neighborhood_phase_max,0.6935595870018005,0.40452834963798523,0.7238861918449402,0.3889981508255005,0.0764203816652298
resize25,3x3,HL2,center_phase,0.33435049653053284,0.3623404800891876,0.334118515253067,0.36446845531463623,-0.0006383528816513717
resize25,3x3,HL2,minimum_distance_to_bit0_lattice,0.023774782195687294,0.03933463245630264,0.022864751517772675,0.03775123134255409,-0.02360585145652294
resize25,3x3,HL2,minimum_distance_to_bit1_lattice,0.23644797503948212,0.20227853953838348,0.24028627574443817,0.20183995366096497,0.01899590529501438
resize25,3x3,HL2,neighborhood_phase_mean,0.336631178855896,0.24467243254184723,0.3339945375919342,0.23592637479305267,-0.01097050029784441
resize25,3x3,HL2,neighborhood_phase_std,0.2217838168144226,0.1533154398202896,0.23293322324752808,0.15250879526138306,0.07291356474161148
resize25,3x3,HL2,neighborhood_phase_min,0.052858952432870865,0.10539279133081436,0.04759325087070465,0.09388546645641327,-0.05275983735918999
resize25,3x3,HL2,neighborhood_phase_max,0.6637400388717651,0.418268620967865,0.685359001159668,0.4091118574142456,0.05225561559200287
resize25,3x3,combined,center_phase,0.34248921275138855,0.36456426978111267,0.34895390272140503,0.36777061223983765,0.017654841765761375
resize25,3x3,combined,minimum_distance_to_bit0_lattice,0.02385590597987175,0.0383673757314682,0.02346744015812874,0.03799550607800484,-0.010174084454774857
resize25,3x3,combined,minimum_distance_to_bit1_lattice,0.2309449464082718,0.20062094926834106,0.231441468000412,0.19986796379089355,0.0024795730132609606
resize25,3x3,combined,neighborhood_phase_mean,0.3441712558269501,0.24221369624137878,0.3480190932750702,0.2355526089668274,0.016106048598885536
resize25,3x3,combined,neighborhood_phase_std,0.22775927186012268,0.15197467803955078,0.2389763444662094,0.15014885365962982,0.07425352185964584
resize25,3x3,combined,neighborhood_phase_min,0.05271124839782715,0.10282214730978012,0.05046364665031433,0.09793815016746521,-0.0223842766135931
resize25,3x3,combined,neighborhood_phase_max,0.6786061525344849,0.41174599528312683,0.7046775817871094,0.39961758255958557,0.06425853073596954
resize25,5x5,LH2,center_phase,0.35067570209503174,0.366605281829834,0.3637048304080963,0.37043625116348267,0.03535473346710205
resize25,5x5,LH2,minimum_distance_to_bit0_lattice,0.0077720023691654205,0.014887056313455105,0.007298719137907028,0.013894185423851013,-0.03286876156926155
resize25,5x5,LH2,minimum_distance_to_bit1_lattice,0.17210310697555542,0.20156940817832947,0.16992086172103882,0.19967925548553467,-0.010877150110900402
resize25,5x5,LH2,neighborhood_phase_mean,0.35012075304985046,0.21781256794929504,0.3546789884567261,0.2125365287065506,0.021182304248213768
resize25,5x5,LH2,neighborhood_phase_std,0.25799500942230225,0.14233596622943878,0.2668953835964203,0.13770535588264465,0.06355603039264679
resize25,5x5,LH2,neighborhood_phase_min,0.015320862643420696,0.04135977476835251,0.01471446268260479,0.03663979470729828,-0.015520412474870682
resize25,5x5,LH2,neighborhood_phase_max,0.7690613865852356,0.39341989159584045,0.79432612657547,0.3760833740234375,0.0656483992934227
