condition,source,overlap_coefficient,total_variation_distance,jensen_shannon_divergence_bits,target0_phase_mean,target0_phase_std,target1_phase_mean,target1_phase_std
resize25,expected_center,0.9492323702609409,0.050767629739059045,0.003061878462649362,0.34248921275138855,0.36456426978111267,0.34895390272140503,0.36777061223983765
resize25,best_fixed_offset_by_subband,0.9632247575994681,0.03677524240053179,0.002196372825097063,0.3465542197227478,0.36649173498153687,0.344856858253479,0.3665885925292969
resize25,oracle_clean_reference_3x3,0.4071092842395926,0.5928907157604073,0.4019469643530047,0.30500951409339905,0.4256930351257324,0.3528347611427307,0.27855533361434937
resize50,expected_center,0.22966906288805466,0.7703309371119453,0.5712515400178048,0.31552672386169434,0.3970990478992462,0.39346206188201904,0.20266801118850708
resize50,best_fixed_offset_by_subband,0.22966906288805466,0.7703309371119453,0.5712515400178048,0.31552672386169434,0.3970990478992462,0.39346206188201904,0.20266801118850708
resize50,oracle_clean_reference_3x3,0.01386617157399635,0.9861338284260036,0.9640585580323753,0.279582142829895,0.4204549789428711,0.39842885732650757,0.16095738112926483
