run,training_images,training_conditions,parameters,clean_ber,jpeg90_ber,jpeg70_ber,jpeg50_ber,reencode1_ber,reencode2_ber,reencode3_ber,macro_ber,perfect_recovery_rate,lh2_ber,hl2_ber
Run 3B clean-trained,500,clean,369,0.0001953125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.975,0.000234375,0.00015625
Stage 2 attack-trained,500,clean+jpeg90+jpeg70+jpeg50+reencode1+reencode2+reencode3,369,0.00046875,0.0573828125,0.3505078125,0.457421875,0.1844140625,0.1937890625,0.196875,0.20583705357142854,0.135,0.21323660714285714,0.1984375
