condition,probability_count,probability_minimum,probability_maximum,probability_mean,probability_standard_deviation,probability_median,fraction_0.45_to_0.55,correct_confidence,incorrect_confidence,false_zero_count,false_one_count,target_one_frequency,predicted_one_frequency,zero_ber_bit_positions
clean,25600,0.031671199947595596,0.9973210096359253,0.5543025135993958,0.39513424038887024,0.6964017152786255,0.0036328125,0.7832028865814209,0.25988543033599854,28,106,0.5062109375,0.5092578125,57
jpeg90,25600,0.035327181220054626,0.9970107078552246,0.5452280640602112,0.37031450867652893,0.5392117500305176,0.0178125,0.7337944507598877,0.37841498851776123,664,682,0.5062109375,0.5069140625,0
jpeg70,25600,0.033264584839344025,0.9958766102790833,0.40684014558792114,0.30971410870552063,0.2025117427110672,0.033828125,0.6403657793998718,0.5603265762329102,6609,2213,0.5062109375,0.3344921875,0
jpeg50,25600,0.03385588899254799,0.9929603934288025,0.361433744430542,0.2868196666240692,0.2025117427110672,0.031484375,0.6169568300247192,0.5922800302505493,8823,2870,0.5062109375,0.273671875,0
reencode1,25600,0.03432212024927139,0.9973849654197693,0.526064932346344,0.3481650650501251,0.515725314617157,0.0274609375,0.6851732730865479,0.42696264386177063,1224,1158,0.5062109375,0.5036328125,0
reencode2,25600,0.03432212024927139,0.9973849654197693,0.5250716209411621,0.3480547368526459,0.51011061668396,0.027265625,0.6852102875709534,0.4503439962863922,1393,1303,0.5062109375,0.5026953125,0
reencode3,25600,0.03228290379047394,0.9973849654197693,0.5249161720275879,0.34821397066116333,0.5075074434280396,0.026953125,0.6854185461997986,0.4590083956718445,1444,1342,0.5062109375,0.5022265625,0
