sample_id,condition,bit_index,target_bit,subband,center_row,center_column,patch_coordinates_after_symmetric_boundary_mapping,raw_3x3_coefficients,derived_3x3x3_features
0,clean,126,1,HL2,124,1,"[[123, 0], [123, 1], [123, 2], [124, 0], [124, 1], [124, 2], [125, 0], [125, 1], [125, 2]]","[[-8.25, -8.5, -0.5], [-4.0, -24.25, -19.5], [2.25, -14.0, 2.5]]","[[[-0.515625, -0.9987954497337341, -0.04906773939728737], [-0.53125, -0.9951847195625305, -0.09801722317934036], [-0.03125, -0.0980171412229538, 0.9951847195625305]], [[-0.25, -0.7071067690849304, 0.7071067690849304], [-1.515625, 0.9987954497337341, 0.04906782507896423], [-1.21875, 0.6343933939933777, -0.7730103731155396]], [[0.140625, 0.4275550842285156, 0.903989315032959], [-0.875, -0.38268327713012695, -0.9238796234130859], [0.15625, 0.4713967442512512, 0.8819212317466736]]]"
0,clean,127,1,HL2,126,61,"[[125, 60], [125, 61], [125, 62], [126, 60], [126, 61], [126, 62], [127, 60], [127, 61], [127, 62]]","[[2.0, 0.0, -0.25], [4.5, 9.75, 0.25], [1.0, 1.75, -1.0]]","[[[0.125, 0.3826834559440613, 0.9238795042037964], [0.0, 0.0, 1.0], [-0.015625, -0.049067676067352295, 0.9987954497337341]], [[0.28125, 0.7730104327201843, 0.6343932747840881], [0.609375, 0.9415440559387207, -0.3368898928165436], [0.015625, 0.049067676067352295, 0.9987954497337341]], [[0.0625, 0.19509032368659973, 0.9807852506637573], [0.109375, 0.3368898630142212, 0.9415440559387207], [-0.0625, -0.19509032368659973, 0.9807852506637573]]]"
2,jpeg70,0,0,LH2,0,74,"[[0, 73], [0, 74], [0, 75], [0, 73], [0, 74], [0, 75], [1, 73], [1, 74], [1, 75]]","[[2.5, -4.0, -0.5], [2.5, -4.0, -0.5], [5.25, 2.25, -7.25]]","[[[0.15625, 0.4713967442512512, 0.8819212317466736], [-0.25, -0.7071067690849304, 0.7071067690849304], [-0.03125, -0.0980171412229538, 0.9951847195625305]], [[0.15625, 0.4713967442512512, 0.8819212317466736], [-0.25, -0.7071067690849304, 0.7071067690849304], [-0.03125, -0.0980171412229538, 0.9951847195625305]], [[0.328125, 0.8577286601066589, 0.5141026973724365], [0.140625, 0.4275550842285156, 0.903989315032959], [-0.453125, -0.9891765117645264, 0.1467304825782776]]]"
2,jpeg70,1,0,LH2,1,115,"[[0, 114], [0, 115], [0, 116], [1, 114], [1, 115], [1, 116], [2, 114], [2, 115], [2, 116]]","[[5.25, 2.5, -1.5], [-9.25, 1.75, -8.5], [-12.25, 4.0, -5.75]]","[[[0.328125, 0.8577286601066589, 0.5141026973724365], [0.15625, 0.4713967442512512, 0.8819212317466736], [-0.09375, -0.290284663438797, 0.9569403529167175]], [[-0.578125, -0.9700312614440918, -0.2429802119731903], [0.109375, 0.3368898630142212, 0.9415440559387207], [-0.53125, -0.9951847195625305, -0.09801722317934036]], [[-0.765625, -0.6715588569641113, -0.7409511804580688], [0.25, 0.7071067690849304, 0.7071067690849304], [-0.359375, -0.9039892554283142, 0.427555114030838]]]"
2,jpeg70,2,0,LH2,4,124,"[[3, 123], [3, 124], [3, 125], [4, 123], [4, 124], [4, 125], [5, 123], [5, 124], [5, 125]]","[[35.0, -24.75, 8.0], [25.25, -6.5, 36.0], [2.25, 54.5, -10.5]]","[[[2.1875, 0.5555706024169922, 0.8314693570137024], [-1.546875, 0.9891765117645264, 0.146730437874794], [0.5, 1.0, -4.371138828673793e-08]], [[1.578125, -0.970031201839447, 0.24298040568828583], [-0.40625, -0.9569403529167175, 0.290284663438797], [2.25, 0.7071067690849304, 0.7071067690849304]], [[0.140625, 0.4275550842285156, 0.903989315032959], [3.40625, -0.9569402933120728, -0.2902848422527313], [-0.65625, -0.8819212317466736, -0.4713968336582184]]]"
2,jpeg70,3,1,LH2,6,92,"[[5, 91], [5, 92], [5, 93], [6, 91], [6, 92], [6, 93], [7, 91], [7, 92], [7, 93]]","[[2.25, -1.25, -1.5], [-3.5, -9.75, 0.5], [4.0, -2.5, 6.75]]","[[[0.140625, 0.4275550842285156, 0.903989315032959], [-0.078125, -0.2429801970720291, 0.9700312614440918], [-0.09375, -0.290284663438797, 0.9569403529167175]], [[-0.21875, -0.6343933343887329, 0.7730104327201843], [-0.609375, -0.9415440559387207, -0.3368898928165436], [0.03125, 0.0980171412229538, 0.9951847195625305]], [[0.25, 0.7071067690849304, 0.7071067690849304], [-0.15625, -0.4713967442512512, 0.8819212317466736], [0.421875, 0.9700312614440918, 0.24298012256622314]]]"
2,jpeg70,62,0,LH2,125,125,"[[124, 124], [124, 125], [124, 126], [125, 124], [125, 125], [125, 126], [126, 124], [126, 125], [126, 126]]","[[-12.0, -6.25, -0.25], [13.75, -2.0, -0.75], [5.5, -7.75, 23.5]]","[[[-0.75, -0.7071067690849304, -0.7071067690849304], [-0.390625, -0.9415440559387207, 0.3368898332118988], [-0.015625, -0.049067676067352295, 0.9987954497337341]], [[0.859375, 0.42755505442619324, -0.903989315032959], [-0.125, -0.3826834559440613, 0.9238795042037964], [-0.046875, -0.1467304676771164, 0.9891765117645264]], [[0.34375, 0.8819212913513184, 0.47139668464660645], [-0.484375, -0.9987954497337341, 0.049067649990320206], [1.46875, -0.9951847195625305, -0.09801692515611649]]]"
2,jpeg70,63,1,LH2,126,67,"[[125, 66], [125, 67], [125, 68], [126, 66], [126, 67], [126, 68], [127, 66], [127, 67], [127, 68]]","[[-2.75, -5.25, -1.25], [-3.5, -9.75, -2.0], [-2.75, 3.75, -3.0]]","[[[-0.171875, -0.5141027569770813, 0.8577286005020142], [-0.328125, -0.8577286601066589, 0.5141026973724365], [-0.078125, -0.2429801970720291, 0.9700312614440918]], [[-0.21875, -0.6343933343887329, 0.7730104327201843], [-0.609375, -0.9415440559387207, -0.3368898928165436], [-0.125, -0.3826834559440613, 0.9238795042037964]], [[-0.171875, -0.5141027569770813, 0.8577286005020142], [0.234375, 0.6715589761734009, 0.7409511208534241], [-0.1875, -0.5555702447891235, 0.8314695954322815]]]"
2,jpeg70,64,1,HL2,0,10,"[[0, 9], [0, 10], [0, 11], [0, 9], [0, 10], [0, 11], [1, 9], [1, 10], [1, 11]]","[[0.0, 5.0, 0.75], [0.0, 5.0, 0.75], [0.0, 1.0, -0.25]]","[[[0.0, 0.0, 1.0], [0.3125, 0.8314696550369263, 0.5555701851844788], [0.046875, 0.1467304676771164, 0.9891765117645264]], [[0.0, 0.0, 1.0], [0.3125, 0.8314696550369263, 0.5555701851844788], [0.046875, 0.1467304676771164, 0.9891765117645264]], [[0.0, 0.0, 1.0], [0.0625, 0.19509032368659973, 0.9807852506637573], [-0.015625, -0.049067676067352295, 0.9987954497337341]]]"
2,jpeg70,65,1,HL2,0,108,"[[0, 107], [0, 108], [0, 109], [0, 107], [0, 108], [0, 109], [1, 107], [1, 108], [1, 109]]","[[7.5, 75.0, 41.5], [7.5, 75.0, 41.5], [8.0, 10.0, 89.25]]","[[[0.46875, 0.9951847195625305, 0.0980171337723732], [4.6875, 0.8314691781997681, -0.5555709004402161], [2.59375, 0.9569402933120728, -0.2902848720550537]], [[0.46875, 0.9951847195625305, 0.0980171337723732], [4.6875, 0.8314691781997681, -0.5555709004402161], [2.59375, 0.9569402933120728, -0.2902848720550537]], [[0.5, 1.0, -4.371138828673793e-08], [0.625, 0.9238795042037964, -0.38268348574638367], [5.578125, -0.970031201839447, 0.24298027157783508]]]"
