epoch,train_bce,train_ber,train_lh2_ber,train_hl2_ber,validation_bce,validation_macro_ber,is_best_checkpoint,train_clean_ber,train_clean_lh2_ber,train_clean_hl2_ber,validation_clean_ber,validation_clean_lh2_ber,validation_clean_hl2_ber,train_jpeg90_ber,train_jpeg90_lh2_ber,train_jpeg90_hl2_ber,validation_jpeg90_ber,validation_jpeg90_lh2_ber,validation_jpeg90_hl2_ber,train_jpeg70_ber,train_jpeg70_lh2_ber,train_jpeg70_hl2_ber,validation_jpeg70_ber,validation_jpeg70_lh2_ber,validation_jpeg70_hl2_ber,train_jpeg50_ber,train_jpeg50_lh2_ber,train_jpeg50_hl2_ber,validation_jpeg50_ber,validation_jpeg50_lh2_ber,validation_jpeg50_hl2_ber,train_reencode1_ber,train_reencode1_lh2_ber,train_reencode1_hl2_ber,validation_reencode1_ber,validation_reencode1_lh2_ber,validation_reencode1_hl2_ber,train_reencode2_ber,train_reencode2_lh2_ber,train_reencode2_hl2_ber,validation_reencode2_ber,validation_reencode2_lh2_ber,validation_reencode2_hl2_ber,train_reencode3_ber,train_reencode3_lh2_ber,train_reencode3_hl2_ber,validation_reencode3_ber,validation_reencode3_lh2_ber,validation_reencode3_hl2_ber
11,0.41905832290649414,0.1714642857142857,0.16759598214285715,0.1753325892857143,0.42075222730636597,0.16839285714285715,False,0.006546875,0.0063125,0.00678125,0.005703125,0.005546875,0.005859375,0.061328125,0.054609375,0.068046875,0.0537109375,0.051640625,0.05578125,0.32846875,0.33559375,0.32134375,0.3465234375,0.360703125,0.33234375,0.4457421875,0.447515625,0.44396875,0.458359375,0.456875,0.45984375,0.108453125,0.09840625,0.1185,0.09609375,0.094765625,0.097421875,0.12259375,0.11296875,0.13221875,0.1075,0.107890625,0.107109375,0.1271171875,0.117765625,0.13646875,0.110859375,0.1103125,0.11140625
12,0.4183846712112427,0.1716060267857143,0.16787276785714286,0.17533928571428573,0.4194670021533966,0.16833705357142859,False,0.00690625,0.00675,0.0070625,0.006171875,0.006171875,0.006171875,0.061484375,0.0551875,0.06778125,0.053203125,0.051171875,0.055234375,0.3285390625,0.335609375,0.32146875,0.3466015625,0.360234375,0.33296875,0.445625,0.44696875,0.44428125,0.45765625,0.4553125,0.46,0.1085703125,0.098640625,0.1185,0.0962109375,0.095234375,0.0971875,0.1226875,0.113453125,0.131921875,0.1076953125,0.108203125,0.1071875,0.1274296875,0.1185,0.136359375,0.1108203125,0.109921875,0.11171875
13,0.41780537366867065,0.17152455357142857,0.16775446428571428,0.17529464285714286,0.4186786413192749,0.1682421875,False,0.0070078125,0.006859375,0.00715625,0.006328125,0.00640625,0.00625,0.0614609375,0.05525,0.067671875,0.053515625,0.05109375,0.0559375,0.328578125,0.335609375,0.321546875,0.3465625,0.360390625,0.332734375,0.4455234375,0.447046875,0.444,0.457734375,0.45578125,0.4596875,0.1083203125,0.09834375,0.118296875,0.096015625,0.094140625,0.097890625,0.122640625,0.11321875,0.1320625,0.1070703125,0.10703125,0.107109375,0.127140625,0.117953125,0.136328125,0.11046875,0.108984375,0.111953125
14,0.4172881543636322,0.17127790178571428,0.16734598214285715,0.17520982142857142,0.4183802902698517,0.16819196428571428,True,0.0067421875,0.006484375,0.007,0.005859375,0.0059375,0.00578125,0.061078125,0.054734375,0.067421875,0.0526171875,0.05015625,0.055078125,0.3285625,0.33528125,0.32184375,0.3463671875,0.3603125,0.332421875,0.4454140625,0.446875,0.443953125,0.4580078125,0.45625,0.459765625,0.1078828125,0.097953125,0.1178125,0.096328125,0.09484375,0.0978125,0.122328125,0.112625,0.13203125,0.10734375,0.107265625,0.107421875,0.1269375,0.11746875,0.13640625,0.1108203125,0.109453125,0.1121875
15,0.4168199896812439,0.1714174107142857,0.16736160714285714,0.17547321428571427,0.41721680760383606,0.16846540178571429,False,0.0071328125,0.006953125,0.0073125,0.00640625,0.00671875,0.00609375,0.0614609375,0.054984375,0.0679375,0.0531640625,0.050859375,0.05546875,0.32865625,0.335078125,0.322234375,0.346953125,0.360859375,0.333046875,0.4452265625,0.446609375,0.44384375,0.4583203125,0.456171875,0.46046875,0.1081796875,0.0981875,0.118171875,0.0964453125,0.0946875,0.098203125,0.1222890625,0.11240625,0.132171875,0.107421875,0.10734375,0.1075,0.1269765625,0.1173125,0.136640625,0.110546875,0.109140625,0.111953125
16,0.41641876101493835,0.17115401785714285,0.16710714285714287,0.17520089285714285,0.41718921065330505,0.16808593749999998,True,0.0071171875,0.00690625,0.007328125,0.0062109375,0.0065625,0.005859375,0.0609296875,0.0543125,0.067546875,0.052890625,0.050859375,0.054921875,0.3283203125,0.3351875,0.321453125,0.3466015625,0.359765625,0.3334375,0.4449921875,0.446328125,0.44365625,0.4578125,0.456015625,0.459609375,0.10796875,0.0978125,0.118125,0.096015625,0.09453125,0.0975,0.122109375,0.11225,0.13196875,0.106953125,0.10671875,0.1071875,0.126640625,0.116953125,0.136328125,0.1101171875,0.10890625,0.111328125
17,0.41609203815460205,0.17114955357142858,0.16713392857142856,0.17516517857142858,0.4167405962944031,0.16805245535714283,True,0.0071875,0.007,0.007375,0.0062890625,0.006875,0.005703125,0.0606875,0.054125,0.06725,0.0526953125,0.0509375,0.054453125,0.3284375,0.335421875,0.321453125,0.3470703125,0.3603125,0.333828125,0.4450625,0.446609375,0.443515625,0.4573046875,0.454921875,0.4596875,0.10809375,0.09796875,0.11821875,0.0959765625,0.094375,0.097578125,0.12209375,0.112140625,0.132046875,0.107109375,0.10625,0.10796875,0.126484375,0.116671875,0.136296875,0.109921875,0.1084375,0.11140625
18,0.41575461626052856,0.17118191964285714,0.16720758928571428,0.17515625,0.4158739745616913,0.16799107142857145,True,0.0074453125,0.00725,0.007640625,0.00671875,0.007109375,0.006328125,0.060875,0.05415625,0.06759375,0.0530859375,0.05125,0.054921875,0.3284453125,0.335328125,0.3215625,0.3465625,0.359921875,0.333203125,0.4450859375,0.446796875,0.443375,0.4571484375,0.454375,0.459921875,0.108125,0.098109375,0.118140625,0.0953515625,0.0934375,0.097265625,0.1218984375,0.112015625,0.13178125,0.10703125,0.106171875,0.107890625,0.1263984375,0.116796875,0.136,0.1100390625,0.10890625,0.111171875
19,0.4154605269432068,0.1711015625,0.16712723214285713,0.17507589285714287,0.4155174493789673,0.167890625,True,0.007484375,0.007296875,0.007671875,0.006875,0.00703125,0.00671875,0.060859375,0.054140625,0.067578125,0.053125,0.0515625,0.0546875,0.3286484375,0.335296875,0.322,0.3459765625,0.35953125,0.332421875,0.4449765625,0.446671875,0.44328125,0.4569921875,0.454609375,0.459375,0.1077890625,0.097734375,0.11784375,0.0953125,0.093125,0.0975,0.121640625,0.111890625,0.131390625,0.10703125,0.106015625,0.108046875,0.1263125,0.116859375,0.135765625,0.109921875,0.10875,0.11109375
20,0.41521352529525757,0.17114174107142857,0.16705580357142857,0.17522767857142857,0.41522276401519775,0.16787946428571426,True,0.007546875,0.007359375,0.007734375,0.0066796875,0.00703125,0.006328125,0.06075,0.054046875,0.067453125,0.052890625,0.05125,0.05453125,0.3287734375,0.335234375,0.3223125,0.34578125,0.359296875,0.332265625,0.4449765625,0.446515625,0.4434375,0.4573046875,0.455,0.459609375,0.1076484375,0.097421875,0.117875,0.095546875,0.0934375,0.09765625,0.1217578125,0.111796875,0.13171875,0.1071484375,0.106015625,0.10828125,0.1265390625,0.117015625,0.1360625,0.1098046875,0.10875,0.110859375
