epoch,loss,mean_training_ber,perfect_payloads
1,0.796928882598877,0.473876953125,0
2,0.7757233381271362,0.47314453125,0
3,0.7561130523681641,0.47314453125,0
4,0.737998366355896,0.472412109375,0
5,0.7214938402175903,0.4775390625,0
6,0.7070635557174683,0.472412109375,0
7,0.694413423538208,0.469970703125,0
8,0.6830423474311829,0.431640625,0
9,0.6726527214050293,0.38330078125,0
10,0.6632800102233887,0.29052734375,0
11,0.6548721790313721,0.220703125,0
12,0.6470821499824524,0.21630859375,0
13,0.6398746967315674,0.214111328125,0
14,0.6331610679626465,0.21630859375,0
15,0.6267412900924683,0.215576171875,0
16,0.6206100583076477,0.211181640625,0
17,0.6146605014801025,0.19873046875,0
18,0.6087708473205566,0.1884765625,0
19,0.602929413318634,0.1865234375,0
20,0.5972565412521362,0.185302734375,0
21,0.5915322303771973,0.177001953125,0
22,0.5857157707214355,0.174560546875,0
23,0.5797967910766602,0.170166015625,0
24,0.5737237930297852,0.171630859375,0
25,0.5674861669540405,0.167724609375,0
26,0.5610793828964233,0.161376953125,0
27,0.554519534111023,0.158203125,0
28,0.5477709770202637,0.137939453125,0
29,0.5408609509468079,0.13720703125,0
30,0.5337573289871216,0.137939453125,0
31,0.5264817476272583,0.135986328125,0
32,0.5190984010696411,0.13330078125,0
33,0.5115704536437988,0.13232421875,0
34,0.5039137005805969,0.13232421875,0
35,0.49609726667404175,0.13232421875,0
36,0.4881272315979004,0.13232421875,0
37,0.4799821674823761,0.1279296875,0
38,0.47163325548171997,0.126708984375,0
39,0.4627684950828552,0.121337890625,0
40,0.4533630311489105,0.114013671875,0
41,0.44367390871047974,0.10498046875,0
42,0.43388283252716064,0.1005859375,0
43,0.4241611957550049,0.095703125,0
44,0.4141049087047577,0.091552734375,0
45,0.4028107225894928,0.0908203125,0
46,0.39059868454933167,0.0908203125,0
47,0.3782613277435303,0.089111328125,0
48,0.3661969006061554,0.08740234375,0
49,0.35454076528549194,0.08349609375,0
50,0.34326300024986267,0.08203125,0
51,0.3322039246559143,0.078125,0
52,0.32136642932891846,0.075439453125,0
53,0.3107282519340515,0.072998046875,0
54,0.3003005385398865,0.0732421875,0
55,0.2902074456214905,0.07080078125,0
56,0.28041931986808777,0.0634765625,0
57,0.2709343731403351,0.056640625,0
58,0.2615480422973633,0.05224609375,0
59,0.2521445155143738,0.04638671875,0
60,0.24275949597358704,0.040283203125,1
61,0.23340430855751038,0.040283203125,1
62,0.22419919073581696,0.0361328125,1
63,0.21521922945976257,0.03271484375,1
64,0.20631639659404755,0.02880859375,1
65,0.1974102407693863,0.02685546875,4
66,0.18850117921829224,0.025146484375,4
67,0.17993302643299103,0.02392578125,4
68,0.17165526747703552,0.02197265625,4
69,0.1635664850473404,0.02099609375,8
70,0.15580087900161743,0.02099609375,8
71,0.1484079509973526,0.02099609375,8
72,0.14149007201194763,0.0205078125,8
73,0.13494373857975006,0.017822265625,9
74,0.12872521579265594,0.0166015625,9
75,0.1228959709405899,0.015625,9
76,0.11736242473125458,0.01318359375,9
77,0.11216489970684052,0.01318359375,9
78,0.10729600489139557,0.01318359375,9
79,0.10269588232040405,0.012451171875,10
80,0.09827759861946106,0.012451171875,10
81,0.09410309791564941,0.012451171875,10
82,0.09018106758594513,0.012451171875,10
83,0.08649317920207977,0.012939453125,10
84,0.08293265849351883,0.012939453125,10
85,0.07953371852636337,0.012451171875,11
86,0.07631225883960724,0.01171875,11
87,0.07320784032344818,0.009033203125,14
88,0.07025748491287231,0.009033203125,14
89,0.06749172508716583,0.008544921875,14
90,0.06478539109230042,0.006103515625,23
91,0.06206108257174492,0.006103515625,23
92,0.05939650535583496,0.004150390625,23
93,0.05683184787631035,0.00390625,24
94,0.05412217602133751,0.00341796875,24
95,0.05147256702184677,0.002685546875,25
96,0.048948369920253754,0.0,32
97,0.04660556837916374,0.0009765625,28
98,0.044351592659950256,0.0009765625,28
99,0.04222552850842476,0.0009765625,28
100,0.0402083583176136,0.0009765625,28
101,0.03828412666916847,0.0009765625,28
102,0.03650912642478943,0.0,32
103,0.034797269850969315,0.0,32
104,0.03322611004114151,0.0,32
105,0.03180208429694176,0.0,32
106,0.030513137578964233,0.0,32
