condition,probability_count,probability_minimum,probability_maximum,probability_mean,probability_standard_deviation,probability_median,fraction_probability_0.45_to_0.55,correct_mean_confidence,incorrect_mean_confidence
clean,25600,0.029129967093467712,0.996494472026825,0.553371250629425,0.3834267258644104,0.6325321197509766,0.0021875,0.7494092583656311,0.12525270879268646
resize75,25600,0.029177069664001465,0.9965924024581909,0.5543822050094604,0.36420682072639465,0.5515738725662231,0.0300390625,0.7256073951721191,0.34798815846443176
resize50,25600,0.02595267817378044,0.9966732263565063,0.5509339570999146,0.3572346568107605,0.5414760112762451,0.0312109375,0.7110840082168579,0.37802302837371826
resize25,25600,0.029300212860107422,0.993341326713562,0.3713843822479248,0.2534412741661072,0.23009474575519562,0.05875,0.5234307050704956,0.5261271595954895
