epoch,train_bce,train_ber,train_lh2_ber,train_hl2_ber,validation_bce,validation_macro_ber,is_best_checkpoint,validation_clean_ber,validation_clean_lh2_ber,validation_clean_hl2_ber,validation_resize75_ber,validation_resize75_lh2_ber,validation_resize75_hl2_ber,validation_resize50_ber,validation_resize50_lh2_ber,validation_resize50_hl2_ber,validation_resize25_ber,validation_resize25_lh2_ber,validation_resize25_hl2_ber
22,0.4190618097782135,0.18562890625,0.18362890625,0.18762890625,0.40254563093185425,0.174140625,False,0.001171875,0.000703125,0.001640625,0.08828125,0.08703125,0.08953125,0.102421875,0.097265625,0.107578125,0.5046875,0.5040625,0.5053125
23,0.4188207685947418,0.18559375,0.18353125,0.18765625,0.4022282361984253,0.17392578125,True,0.0009375,0.000625,0.00125,0.08796875,0.08671875,0.08921875,0.1022265625,0.0971875,0.107265625,0.5045703125,0.504140625,0.505
24,0.4184972047805786,0.185568359375,0.18362109375,0.187515625,0.4021519124507904,0.174189453125,False,0.000859375,0.000625,0.00109375,0.0884375,0.087265625,0.089609375,0.1028515625,0.0975,0.108203125,0.504609375,0.504375,0.50484375
25,0.41830894351005554,0.185640625,0.18369921875,0.18758203125,0.4018767476081848,0.173974609375,False,0.0006640625,0.000625,0.000703125,0.08796875,0.086640625,0.089296875,0.10265625,0.097265625,0.108046875,0.504609375,0.50375,0.50546875
26,0.4180545508861542,0.18540625,0.18348046875,0.18733203125,0.40171802043914795,0.173935546875,False,0.000703125,0.000546875,0.000859375,0.08796875,0.0865625,0.089375,0.1026953125,0.0978125,0.107578125,0.504375,0.503203125,0.505546875
27,0.41781699657440186,0.18534765625,0.1835078125,0.1871875,0.4014117121696472,0.173994140625,False,0.000625,0.00046875,0.00078125,0.088203125,0.086875,0.08953125,0.1026953125,0.0978125,0.107578125,0.504453125,0.5034375,0.50546875
28,0.41762667894363403,0.18528125,0.1833125,0.18725,0.40125152468681335,0.17386718750000002,True,0.0006640625,0.000546875,0.00078125,0.0879296875,0.086015625,0.08984375,0.10265625,0.097734375,0.107578125,0.50421875,0.503125,0.5053125
29,0.4174533188343048,0.18515625,0.18316015625,0.18715234375,0.4012293517589569,0.173896484375,False,0.0005859375,0.000390625,0.00078125,0.0879296875,0.08625,0.089609375,0.10265625,0.09796875,0.10734375,0.5044140625,0.503046875,0.50578125
30,0.41727927327156067,0.18508203125,0.18309765625,0.18706640625,0.4010554850101471,0.17388671875,False,0.000703125,0.000625,0.00078125,0.08828125,0.08671875,0.08984375,0.1025,0.0978125,0.1071875,0.5040625,0.503125,0.505
31,0.41715893149375916,0.185119140625,0.1830703125,0.18716796875,0.4007604718208313,0.17396484375000001,False,0.000546875,0.000390625,0.000703125,0.08828125,0.0865625,0.09,0.1026953125,0.097734375,0.10765625,0.5043359375,0.503359375,0.5053125
32,0.41697993874549866,0.18512890625,0.18306640625,0.18719140625,0.40065476298332214,0.173828125,True,0.0005859375,0.00046875,0.000703125,0.0887890625,0.08703125,0.090546875,0.10234375,0.0978125,0.106875,0.50359375,0.502421875,0.504765625
33,0.41682079434394836,0.1850859375,0.18306640625,0.18710546875,0.4003715515136719,0.17367187499999998,True,0.0005078125,0.00046875,0.000546875,0.0881640625,0.08640625,0.089921875,0.1023046875,0.0975,0.107109375,0.5037109375,0.502734375,0.5046875
34,0.4167730510234833,0.185056640625,0.18298046875,0.1871328125,0.40015968680381775,0.17376953125,False,0.0005078125,0.00046875,0.000546875,0.08859375,0.086953125,0.090234375,0.1025,0.097734375,0.107265625,0.5034765625,0.50265625,0.504296875
35,0.4165935814380646,0.185109375,0.18298046875,0.18723828125,0.40004345774650574,0.1739453125,False,0.000546875,0.0003125,0.00078125,0.08875,0.086953125,0.090546875,0.102578125,0.09828125,0.106875,0.50390625,0.5034375,0.504375
36,0.4164615869522095,0.1851171875,0.18300390625,0.18723046875,0.3999006748199463,0.173740234375,False,0.000625,0.000625,0.000625,0.088515625,0.08703125,0.09,0.1022265625,0.097578125,0.106875,0.50359375,0.503046875,0.504140625
37,0.41634127497673035,0.185099609375,0.18304296875,0.18715625,0.3999343514442444,0.17361328125,True,0.00078125,0.000625,0.0009375,0.0881640625,0.086171875,0.09015625,0.101953125,0.0975,0.10640625,0.5035546875,0.502578125,0.50453125
38,0.416300505399704,0.18512109375,0.1829765625,0.187265625,0.39969322085380554,0.17373046875,False,0.000625,0.00046875,0.00078125,0.0884375,0.0865625,0.0903125,0.1022265625,0.09796875,0.106484375,0.5036328125,0.502421875,0.50484375
39,0.4161219298839569,0.184978515625,0.1828359375,0.18712109375,0.399636447429657,0.17375,False,0.000703125,0.00046875,0.0009375,0.0884375,0.086796875,0.090078125,0.1021484375,0.097421875,0.106875,0.5037109375,0.502421875,0.505
40,0.4160230755805969,0.1850078125,0.18287890625,0.18713671875,0.39944949746131897,0.173671875,False,0.000703125,0.00046875,0.0009375,0.0881640625,0.0865625,0.089765625,0.1021484375,0.09734375,0.106953125,0.503671875,0.502421875,0.504921875
41,0.4159413278102875,0.184876953125,0.18269921875,0.1870546875,0.3997376263141632,0.17345703125,True,0.0005859375,0.000390625,0.00078125,0.0880078125,0.0865625,0.089453125,0.101796875,0.096796875,0.106796875,0.5034375,0.501875,0.505
42,0.41593867540359497,0.18503125,0.18285546875,0.18720703125,0.39927196502685547,0.173515625,False,0.0005078125,0.000390625,0.000625,0.088125,0.086796875,0.089453125,0.101640625,0.096953125,0.106328125,0.5037890625,0.5028125,0.504765625
43,0.4157775342464447,0.184875,0.18265625,0.18709375,0.39923229813575745,0.17361328125,False,0.0005859375,0.00046875,0.000703125,0.088203125,0.0871875,0.08921875,0.1015625,0.09703125,0.10609375,0.5041015625,0.502734375,0.50546875
44,0.415706068277359,0.18484765625,0.18265234375,0.18704296875,0.39919722080230713,0.173447265625,True,0.0005859375,0.00046875,0.000703125,0.08796875,0.08671875,0.08921875,0.1013671875,0.096875,0.105859375,0.5038671875,0.50203125,0.505703125
45,0.4156176447868347,0.184796875,0.18267578125,0.18691796875,0.3991018533706665,0.173359375,True,0.0005078125,0.00046875,0.000546875,0.0879296875,0.086875,0.088984375,0.10125,0.096640625,0.105859375,0.50375,0.50171875,0.50578125
46,0.4155363142490387,0.184787109375,0.18268359375,0.186890625,0.3990408182144165,0.17349609375,False,0.000625,0.000625,0.000625,0.0878125,0.086875,0.08875,0.101484375,0.0965625,0.10640625,0.5040625,0.502109375,0.506015625
47,0.4154197871685028,0.184845703125,0.18280859375,0.1868828125,0.3987942636013031,0.17336914062500003,False,0.0006640625,0.000703125,0.000625,0.08765625,0.086796875,0.088515625,0.10140625,0.0965625,0.10625,0.50375,0.502421875,0.505078125
48,0.41538387537002563,0.184787109375,0.18271484375,0.186859375,0.39881351590156555,0.17355468750000003,False,0.0006640625,0.000703125,0.000625,0.088125,0.086953125,0.089296875,0.1015625,0.096796875,0.106328125,0.5038671875,0.501953125,0.50578125
49,0.41529539227485657,0.184861328125,0.18280859375,0.1869140625,0.3986930549144745,0.173466796875,False,0.000625,0.000703125,0.000546875,0.088203125,0.087265625,0.089140625,0.1014453125,0.09640625,0.106484375,0.50359375,0.502109375,0.505078125
50,0.4152604937553406,0.184759765625,0.18267578125,0.18684375,0.39866435527801514,0.173623046875,False,0.000703125,0.000859375,0.000546875,0.088125,0.08734375,0.08890625,0.101875,0.096875,0.106875,0.5037890625,0.501796875,0.50578125
51,0.4151780903339386,0.18474609375,0.1826796875,0.1868125,0.3985804617404938,0.173486328125,False,0.000625,0.000703125,0.000546875,0.088046875,0.0875,0.08859375,0.101640625,0.09640625,0.106875,0.5036328125,0.501796875,0.50546875
52,0.4151732623577118,0.1846796875,0.182640625,0.18671875,0.3986314535140991,0.17325195312500002,True,0.000625,0.000859375,0.000390625,0.087734375,0.087265625,0.088203125,0.10140625,0.09625,0.1065625,0.5032421875,0.501875,0.504609375
53,0.4150782823562622,0.184666015625,0.18267578125,0.18665625,0.39852839708328247,0.1733984375,False,0.000703125,0.000859375,0.000546875,0.0884375,0.088125,0.08875,0.101171875,0.095546875,0.106796875,0.50328125,0.50140625,0.50515625
54,0.41501906514167786,0.18473046875,0.18272265625,0.18673828125,0.3984947204589844,0.1734765625,False,0.0007421875,0.0009375,0.000546875,0.0884765625,0.088203125,0.08875,0.1012109375,0.095859375,0.1065625,0.5034765625,0.50140625,0.505546875
55,0.4149993062019348,0.1846640625,0.18262890625,0.18669921875,0.3983961045742035,0.17337890625,False,0.0006640625,0.00078125,0.000546875,0.0883984375,0.087890625,0.08890625,0.1011328125,0.09609375,0.106171875,0.5033203125,0.50125,0.505390625
56,0.41494888067245483,0.184697265625,0.18262890625,0.186765625,0.3983123004436493,0.17326171875000002,False,0.0006640625,0.00078125,0.000546875,0.088203125,0.087421875,0.088984375,0.1006640625,0.09546875,0.105859375,0.503515625,0.50140625,0.505625
57,0.4148651659488678,0.184671875,0.18269140625,0.18665234375,0.3982342779636383,0.17314453125,True,0.0006640625,0.00078125,0.000546875,0.0881640625,0.087265625,0.0890625,0.10046875,0.095,0.1059375,0.50328125,0.50125,0.5053125
58,0.41481345891952515,0.184705078125,0.18273828125,0.186671875,0.39818570017814636,0.17310546875,True,0.0006640625,0.000703125,0.000625,0.0879296875,0.086953125,0.08890625,0.100625,0.095390625,0.105859375,0.503203125,0.501796875,0.504609375
59,0.4147603511810303,0.184677734375,0.18268359375,0.186671875,0.39812400937080383,0.173095703125,True,0.000703125,0.00078125,0.000625,0.08796875,0.086796875,0.089140625,0.1005859375,0.095546875,0.105625,0.503125,0.50140625,0.50484375
60,0.4147082567214966,0.184640625,0.1826328125,0.1866484375,0.3981330394744873,0.1731640625,False,0.000625,0.000703125,0.000546875,0.088046875,0.08671875,0.089375,0.10046875,0.09515625,0.10578125,0.503515625,0.5015625,0.50546875
61,0.4146423935890198,0.184646484375,0.182703125,0.18658984375,0.3980046510696411,0.17318359375,False,0.0007421875,0.0009375,0.000546875,0.08828125,0.08671875,0.08984375,0.10015625,0.094765625,0.105546875,0.5035546875,0.50171875,0.505390625
62,0.4146253764629364,0.18471484375,0.18275390625,0.18667578125,0.398000568151474,0.17313476562500002,False,0.000625,0.00078125,0.00046875,0.0878515625,0.08625,0.089453125,0.1003125,0.09515625,0.10546875,0.50375,0.501796875,0.505703125
63,0.4146144986152649,0.184634765625,0.182671875,0.18659765625,0.3980426490306854,0.17313476562500002,False,0.0005078125,0.000703125,0.0003125,0.088046875,0.08625,0.08984375,0.1003515625,0.09515625,0.105546875,0.5036328125,0.501640625,0.505625
64,0.4145963788032532,0.184638671875,0.1826796875,0.18659765625,0.3980202376842499,0.17298828125000001,True,0.0005078125,0.000703125,0.0003125,0.0880078125,0.086171875,0.08984375,0.1001953125,0.095078125,0.1053125,0.5032421875,0.501484375,0.505
65,0.41448280215263367,0.184609375,0.182640625,0.186578125,0.39798232913017273,0.173125,False,0.000625,0.00078125,0.00046875,0.088203125,0.0865625,0.08984375,0.100234375,0.09546875,0.105,0.5034375,0.50140625,0.50546875
66,0.41442620754241943,0.184619140625,0.18262109375,0.1866171875,0.39783287048339844,0.173046875,False,0.000625,0.0009375,0.0003125,0.0881640625,0.086328125,0.09,0.1,0.095,0.105,0.5033984375,0.50171875,0.505078125
67,0.4144143760204315,0.184560546875,0.1826015625,0.18651953125,0.3979291617870331,0.17310546875000002,False,0.000625,0.0009375,0.0003125,0.0883203125,0.086328125,0.0903125,0.1001171875,0.0953125,0.104921875,0.503359375,0.501640625,0.505078125
68,0.4143673777580261,0.184529296875,0.18256640625,0.1864921875,0.39780303835868835,0.1728515625,True,0.0006640625,0.001015625,0.0003125,0.087890625,0.0859375,0.08984375,0.0996484375,0.094453125,0.10484375,0.503203125,0.501484375,0.504921875
69,0.4143175184726715,0.184521484375,0.182640625,0.18640234375,0.3978082537651062,0.17283203125,True,0.000546875,0.00078125,0.0003125,0.0877734375,0.08578125,0.089765625,0.0998046875,0.0946875,0.104921875,0.503203125,0.501796875,0.504609375
70,0.41424137353897095,0.184505859375,0.1825078125,0.18650390625,0.3977632224559784,0.172900390625,False,0.0005078125,0.000625,0.000390625,0.0878125,0.0859375,0.0896875,0.0998828125,0.095078125,0.1046875,0.5033984375,0.50234375,0.504453125
71,0.414302796125412,0.184525390625,0.182578125,0.18647265625,0.39778727293014526,0.172919921875,False,0.0006640625,0.0009375,0.000390625,0.087890625,0.086015625,0.089765625,0.09953125,0.09453125,0.10453125,0.50359375,0.5025,0.5046875
72,0.4141823351383209,0.18454296875,0.18269921875,0.18638671875,0.3977561295032501,0.173046875,False,0.000546875,0.000625,0.00046875,0.0880078125,0.0859375,0.090078125,0.09984375,0.09453125,0.10515625,0.5037890625,0.502109375,0.50546875
73,0.41411513090133667,0.184572265625,0.18269140625,0.186453125,0.39769572019577026,0.17308593749999998,False,0.0005078125,0.000625,0.000390625,0.0883203125,0.086484375,0.09015625,0.0996875,0.094453125,0.104921875,0.503828125,0.50265625,0.505
74,0.4141415059566498,0.1845703125,0.18275,0.186390625,0.39770448207855225,0.17300781250000002,False,0.000546875,0.000625,0.00046875,0.0880078125,0.08640625,0.089609375,0.0994921875,0.0946875,0.104296875,0.503984375,0.503203125,0.504765625
75,0.414075642824173,0.18459375,0.1828203125,0.1863671875,0.3976384103298187,0.173017578125,False,0.000625,0.00078125,0.00046875,0.0880859375,0.086796875,0.089375,0.09953125,0.094296875,0.104765625,0.503828125,0.502578125,0.505078125
76,0.41402146220207214,0.1845859375,0.1828359375,0.1863359375,0.3976375460624695,0.172958984375,False,0.000625,0.00078125,0.00046875,0.087890625,0.0865625,0.08921875,0.09953125,0.094453125,0.104609375,0.5037890625,0.5028125,0.504765625
77,0.4140253961086273,0.184515625,0.18272265625,0.18630859375,0.3976568877696991,0.17314453125,False,0.000703125,0.0009375,0.00046875,0.0878515625,0.086640625,0.0890625,0.0998046875,0.094609375,0.105,0.50421875,0.503515625,0.504921875
78,0.41395169496536255,0.184443359375,0.18264453125,0.1862421875,0.3976082503795624,0.17301757812500002,False,0.000703125,0.0009375,0.00046875,0.0876171875,0.08640625,0.088828125,0.09953125,0.094375,0.1046875,0.50421875,0.50328125,0.50515625
79,0.41388607025146484,0.1843828125,0.18259375,0.186171875,0.39763522148132324,0.173095703125,False,0.0007421875,0.001015625,0.00046875,0.087265625,0.086171875,0.088359375,0.0995703125,0.094375,0.104765625,0.5048046875,0.503984375,0.505625
