delta,mean_psnr_rgb_db,median_psnr_rgb_db,std_psnr_rgb_db,minimum_psnr_rgb_db,maximum_psnr_rgb_db,mean_ssim_rgb,median_ssim_rgb,std_ssim_rgb,minimum_ssim_rgb,maximum_ssim_rgb,classical_clean_mean_ber,classical_clean_median_ber,classical_clean_maximum_ber,classical_clean_perfect_payloads,cnn_clean_ber,cnn_jpeg90_ber,cnn_jpeg70_ber,cnn_jpeg50_ber,cnn_reencode_macro_ber,cnn_seven_condition_macro_ber,cnn_six_attack_macro_ber,classical_six_attack_macro_ber,cnn_absolute_improvement_over_classical_attack_macro,cnn_relative_improvement_over_classical_attack_macro,best_epoch,epochs_trained,best_validation_bce,shuffle_seed
8,56.4287048737366,56.171884483226755,3.298669645624453,50.93778971428244,67.03132092178953,0.9992379988245123,0.9995370456613474,0.0006892986210524449,0.9971041851297399,0.9999594515496023,0.06921875,0.015625,0.3046875,83,0.023203125,0.264140625,0.480234375,0.499296875,0.40350260416666667,0.35391183035714285,0.40902994791666664,0.4195377604166666,0.010507812499999991,0.025046166260610462,63,70,0.632511556148529,20260820
16,56.12976412428352,55.96381257415912,3.050960585508345,50.843470142178326,64.79290083387471,0.9991605915570623,0.9994643113778725,0.0006899886763453111,0.9970044847362233,0.9999082399935787,0.1278125,0.03125,0.5234375,79,0.0003515625,0.054921875,0.3498046875,0.4593359375,0.18845052083333333,0.20425223214285718,0.23823567708333335,0.27703776041666667,0.03880208333333332,0.1400606302728362,19,29,0.4643262028694153,20260821
24,55.70128376848795,55.57768135766451,2.7713626634480093,50.69529058965501,62.686672285216034,0.9990330727585822,0.9993367233268955,0.0006937905183482309,0.9968396944474597,0.9998147626719391,0.1278515625,0.03125,0.5234375,77,0.0001953125,0.024296875,0.23375,0.365078125,0.050755208333333336,0.11079799107142856,0.12923177083333331,0.2130924479166667,0.08386067708333339,0.39354129113073255,8,18,0.31204381585121155,20260822
32,55.19204980247471,55.18930136448318,2.4896140210506803,50.496395708989496,61.36299797627381,0.9988604075375713,0.9990992194784911,0.0007028359224728477,0.9966088368198442,0.9996920940180282,0.127890625,0.03125,0.5234375,79,0.000234375,0.01203125,0.1559375,0.2740234375,0.029388020833333334,0.0757700892857143,0.08835937500000002,0.18525390625000002,0.09689453125,0.523036373220875,12,22,0.2294808030128479,20260823
