delta,epoch,train_bce,train_ber,train_lh2_ber,train_hl2_ber,validation_bce,validation_macro_ber,is_best_checkpoint,validation_clean_ber,validation_clean_lh2_ber,validation_clean_hl2_ber,validation_jpeg90_ber,validation_jpeg90_lh2_ber,validation_jpeg90_hl2_ber,validation_jpeg70_ber,validation_jpeg70_lh2_ber,validation_jpeg70_hl2_ber,validation_jpeg50_ber,validation_jpeg50_lh2_ber,validation_jpeg50_hl2_ber,validation_reencode1_ber,validation_reencode1_lh2_ber,validation_reencode1_hl2_ber,validation_reencode2_ber,validation_reencode2_lh2_ber,validation_reencode2_hl2_ber,validation_reencode3_ber,validation_reencode3_lh2_ber,validation_reencode3_hl2_ber
32,1,0.5468654632568359,0.11630022321428571,0.09799776785714286,0.13460267857142857,0.3522818088531494,0.11504464285714286,True,0.02984375,0.015,0.0446875,0.0825390625,0.0365625,0.128515625,0.187421875,0.196484375,0.178359375,0.2930078125,0.285234375,0.30078125,0.0659375,0.05359375,0.07828125,0.0721484375,0.059140625,0.08515625,0.0744140625,0.0615625,0.087265625
32,2,0.25745245814323425,0.07379129464285715,0.06996428571428571,0.07761830357142857,0.2418227344751358,0.07854910714285714,True,0.0008984375,0.00046875,0.001328125,0.013984375,0.011484375,0.016484375,0.1586328125,0.172109375,0.14515625,0.276484375,0.271328125,0.281640625,0.02578125,0.0228125,0.02875,0.0353125,0.032421875,0.038203125,0.03875,0.03609375,0.04140625
32,3,0.21916742622852325,0.07219084821428572,0.068828125,0.07555357142857143,0.23573549091815948,0.07686383928571429,True,0.000625,0.0003125,0.0009375,0.012109375,0.010234375,0.013984375,0.156640625,0.1703125,0.14296875,0.27515625,0.27109375,0.27921875,0.0234765625,0.0209375,0.026015625,0.0330859375,0.03078125,0.035390625,0.036953125,0.034921875,0.038984375
32,4,0.21545995771884918,0.07212388392857143,0.06955803571428572,0.07468973214285714,0.23344410955905914,0.07653459821428572,True,0.0005078125,0.000234375,0.00078125,0.0124609375,0.011015625,0.01390625,0.1565234375,0.171328125,0.14171875,0.2748828125,0.27109375,0.278671875,0.022734375,0.021640625,0.023828125,0.0325390625,0.031015625,0.0340625,0.03609375,0.035078125,0.037109375
32,5,0.21374674141407013,0.0717578125,0.06928571428571428,0.07422991071428571,0.23204968869686127,0.07623883928571427,True,0.0003125,0.000234375,0.000390625,0.012265625,0.011015625,0.013515625,0.15671875,0.17109375,0.14234375,0.2744921875,0.27078125,0.278203125,0.0222265625,0.02125,0.023203125,0.031875,0.03015625,0.03359375,0.03578125,0.0346875,0.036875
32,6,0.21277746558189392,0.07161941964285715,0.06906473214285715,0.07417410714285715,0.2315686047077179,0.076171875,True,0.000234375,0.000234375,0.000234375,0.012109375,0.010703125,0.013515625,0.1565234375,0.170703125,0.14234375,0.2745703125,0.27078125,0.278359375,0.0221875,0.02109375,0.02328125,0.0317578125,0.03,0.033515625,0.0358203125,0.034453125,0.0371875
32,7,0.21229664981365204,0.0715390625,0.06899107142857143,0.07408705357142857,0.23121891915798187,0.07600446428571428,True,0.000234375,0.000234375,0.000234375,0.012109375,0.010703125,0.013515625,0.1562109375,0.170234375,0.1421875,0.27421875,0.27015625,0.27828125,0.022109375,0.021171875,0.023046875,0.0315625,0.029765625,0.033359375,0.0355859375,0.03421875,0.036953125
32,8,0.21194516122341156,0.07143415178571429,0.06891517857142856,0.073953125,0.23091784119606018,0.0758984375,True,0.000234375,0.000234375,0.000234375,0.012109375,0.010703125,0.013515625,0.15625,0.1703125,0.1421875,0.273828125,0.269921875,0.277734375,0.02203125,0.021171875,0.022890625,0.031171875,0.029609375,0.032734375,0.0356640625,0.034296875,0.03703125
32,9,0.21161368489265442,0.07141294642857143,0.06888616071428572,0.07393973214285714,0.23061233758926392,0.07580915178571428,True,0.000234375,0.000234375,0.000234375,0.0121875,0.010859375,0.013515625,0.1559375,0.17015625,0.14171875,0.27390625,0.27015625,0.27765625,0.021875,0.021015625,0.022734375,0.031015625,0.029609375,0.032421875,0.0355078125,0.03421875,0.036796875
32,10,0.21134178340435028,0.07138839285714285,0.06886607142857143,0.07391071428571429,0.23020434379577637,0.07582589285714283,False,0.000234375,0.000234375,0.000234375,0.0121875,0.010859375,0.013515625,0.156015625,0.1703125,0.14171875,0.2738671875,0.27015625,0.277578125,0.021875,0.021015625,0.022734375,0.03109375,0.029765625,0.032421875,0.0355078125,0.03421875,0.036796875
