delta,epoch,train_bce,train_ber,train_lh2_ber,train_hl2_ber,validation_bce,validation_macro_ber,is_best_checkpoint,validation_clean_ber,validation_clean_lh2_ber,validation_clean_hl2_ber,validation_jpeg90_ber,validation_jpeg90_lh2_ber,validation_jpeg90_hl2_ber,validation_jpeg70_ber,validation_jpeg70_lh2_ber,validation_jpeg70_hl2_ber,validation_jpeg50_ber,validation_jpeg50_lh2_ber,validation_jpeg50_hl2_ber,validation_reencode1_ber,validation_reencode1_lh2_ber,validation_reencode1_hl2_ber,validation_reencode2_ber,validation_reencode2_lh2_ber,validation_reencode2_hl2_ber,validation_reencode3_ber,validation_reencode3_lh2_ber,validation_reencode3_hl2_ber
24,1,0.5684767961502075,0.15112946428571428,0.1426205357142857,0.15963839285714285,0.39948171377182007,0.15250558035714287,True,0.0218359375,0.017734375,0.0259375,0.1497265625,0.107890625,0.1915625,0.2543359375,0.24171875,0.266953125,0.3787890625,0.403203125,0.354375,0.0800390625,0.07515625,0.084921875,0.0898828125,0.08640625,0.093359375,0.0929296875,0.08875,0.097109375
24,2,0.3345368504524231,0.11120647321428571,0.11079910714285714,0.11161383928571429,0.32231956720352173,0.11595424107142857,True,0.0008203125,0.000859375,0.00078125,0.05078125,0.074296875,0.027265625,0.2358203125,0.21703125,0.254609375,0.3654296875,0.39046875,0.340390625,0.042890625,0.040859375,0.044921875,0.055859375,0.054921875,0.056796875,0.060078125,0.058984375,0.061171875
24,3,0.30680614709854126,0.10977232142857143,0.10952232142857143,0.11002232142857143,0.317768931388855,0.11496093749999999,True,0.0002734375,0.000234375,0.0003125,0.04984375,0.073515625,0.026171875,0.2341015625,0.216015625,0.2521875,0.365234375,0.390625,0.33984375,0.0408203125,0.038671875,0.04296875,0.0553515625,0.054140625,0.0565625,0.0591015625,0.057109375,0.06109375
24,4,0.30403703451156616,0.10912723214285715,0.10893526785714286,0.10931919642857142,0.31570056080818176,0.11452008928571429,True,0.00015625,7.8125e-05,0.000234375,0.04953125,0.07328125,0.02578125,0.2337890625,0.2159375,0.251640625,0.36484375,0.39015625,0.33953125,0.0400390625,0.038046875,0.04203125,0.0548828125,0.0534375,0.056328125,0.0583984375,0.056171875,0.060625
24,5,0.3025876581668854,0.10787723214285715,0.10673214285714286,0.10902232142857143,0.31427666544914246,0.11136718749999998,True,0.0001953125,0.00015625,0.000234375,0.025078125,0.024609375,0.025546875,0.2340625,0.217421875,0.250703125,0.3649609375,0.390078125,0.33984375,0.0405859375,0.03921875,0.041953125,0.0553515625,0.0546875,0.056015625,0.0593359375,0.058359375,0.0603125
24,6,0.3015997111797333,0.10772991071428571,0.10652678571428571,0.10893303571428571,0.31348419189453125,0.11116629464285717,True,0.0001953125,0.00015625,0.000234375,0.0247265625,0.024453125,0.025,0.2339453125,0.217421875,0.25046875,0.36484375,0.3896875,0.34,0.0404296875,0.039140625,0.04171875,0.055,0.05421875,0.05578125,0.0590234375,0.058203125,0.05984375
24,7,0.3009342551231384,0.10761049107142857,0.10646875,0.10875223214285715,0.3127014935016632,0.11101562499999998,True,0.0001953125,0.00015625,0.000234375,0.0244140625,0.024140625,0.0246875,0.2337109375,0.217109375,0.2503125,0.3653125,0.390078125,0.340546875,0.040234375,0.039296875,0.041171875,0.0544921875,0.054140625,0.05484375,0.05875,0.058203125,0.059296875
24,8,0.3003203570842743,0.10748325892857143,0.10629910714285715,0.10866741071428572,0.31204381585121155,0.11079799107142856,True,0.0001953125,0.00015625,0.000234375,0.024296875,0.023984375,0.024609375,0.23375,0.21671875,0.25078125,0.365078125,0.39,0.34015625,0.040078125,0.039296875,0.040859375,0.05390625,0.053515625,0.054296875,0.05828125,0.058125,0.0584375
24,9,0.29986587166786194,0.10833928571428571,0.10627901785714286,0.11039955357142857,0.31156331300735474,0.11145089285714284,False,0.0001953125,0.00015625,0.000234375,0.0245703125,0.024140625,0.025,0.2334375,0.21703125,0.24984375,0.366875,0.38984375,0.34390625,0.0412890625,0.039453125,0.043125,0.0545703125,0.053359375,0.05578125,0.05921875,0.058125,0.0603125
24,10,0.29952341318130493,0.10828683035714286,0.10619196428571429,0.11038169642857143,0.3111301362514496,0.11146205357142856,False,0.0001953125,0.00015625,0.000234375,0.024609375,0.024140625,0.025078125,0.2333203125,0.216796875,0.24984375,0.366953125,0.39015625,0.34375,0.041328125,0.039609375,0.043046875,0.054609375,0.053515625,0.055703125,0.05921875,0.05828125,0.06015625
