delta,epoch,train_bce,train_ber,train_lh2_ber,train_hl2_ber,validation_bce,validation_macro_ber,is_best_checkpoint,validation_clean_ber,validation_clean_lh2_ber,validation_clean_hl2_ber,validation_jpeg90_ber,validation_jpeg90_lh2_ber,validation_jpeg90_hl2_ber,validation_jpeg70_ber,validation_jpeg70_lh2_ber,validation_jpeg70_hl2_ber,validation_jpeg50_ber,validation_jpeg50_lh2_ber,validation_jpeg50_hl2_ber,validation_reencode1_ber,validation_reencode1_lh2_ber,validation_reencode1_hl2_ber,validation_reencode2_ber,validation_reencode2_lh2_ber,validation_reencode2_hl2_ber,validation_reencode3_ber,validation_reencode3_lh2_ber,validation_reencode3_hl2_ber
16,1,0.6280847787857056,0.26026450892857145,0.248046875,0.27248214285714284,0.5348094701766968,0.26938616071428567,True,0.0737890625,0.068828125,0.07875,0.178671875,0.1134375,0.24390625,0.383984375,0.381796875,0.386171875,0.4588671875,0.461015625,0.45671875,0.2593359375,0.24765625,0.271015625,0.264140625,0.2534375,0.27484375,0.2669140625,0.25625,0.277578125
16,2,0.4805068075656891,0.20072767857142856,0.19804241071428572,0.20341294642857144,0.4733694791793823,0.21357142857142858,True,0.0008984375,0.00109375,0.000703125,0.089453125,0.05625,0.12265625,0.366875,0.363984375,0.369765625,0.457265625,0.453203125,0.461328125,0.1855078125,0.203984375,0.16703125,0.1960546875,0.2159375,0.176171875,0.1989453125,0.217578125,0.1803125
16,3,0.45560094714164734,0.19880245535714286,0.1956607142857143,0.20194419642857142,0.4693078100681305,0.21275111607142858,True,0.000546875,0.000703125,0.000390625,0.0880078125,0.054765625,0.12125,0.366484375,0.36265625,0.3703125,0.4582421875,0.453515625,0.46296875,0.18453125,0.20265625,0.16640625,0.1944140625,0.213359375,0.17546875,0.19703125,0.215,0.1790625
16,4,0.4530147612094879,0.19519642857142858,0.19518526785714285,0.19520758928571427,0.46778368949890137,0.20636160714285715,True,0.0004296875,0.000390625,0.00046875,0.0569921875,0.054140625,0.05984375,0.3518359375,0.36359375,0.340078125,0.45859375,0.45390625,0.46328125,0.184765625,0.200703125,0.168828125,0.194453125,0.211875,0.17703125,0.1974609375,0.213515625,0.18140625
16,5,0.45192840695381165,0.19492075892857144,0.19481473214285713,0.19502678571428572,0.4669167101383209,0.20612723214285714,True,0.0003125,0.000390625,0.000234375,0.0569140625,0.05484375,0.058984375,0.35140625,0.363125,0.3396875,0.458203125,0.4528125,0.46359375,0.18421875,0.1996875,0.16875,0.1943359375,0.21140625,0.177265625,0.1975,0.213203125,0.181796875
16,6,0.4513057470321655,0.19479464285714285,0.19468080357142858,0.19490848214285714,0.4661836326122284,0.20602120535714286,True,0.0003125,0.000390625,0.000234375,0.056484375,0.05390625,0.0590625,0.3516015625,0.3634375,0.339765625,0.4587890625,0.453671875,0.46390625,0.18390625,0.19953125,0.16828125,0.1940234375,0.21109375,0.176953125,0.19703125,0.212734375,0.181328125
16,7,0.4508140981197357,0.19474441964285713,0.19468973214285715,0.19479910714285714,0.46584028005599976,0.20589285714285716,True,0.0003125,0.000390625,0.000234375,0.0564453125,0.053828125,0.0590625,0.351484375,0.3634375,0.33953125,0.458828125,0.453515625,0.464140625,0.183671875,0.199453125,0.167890625,0.1937890625,0.211015625,0.1765625,0.19671875,0.21265625,0.18078125
16,8,0.4504931569099426,0.19463169642857142,0.1945424107142857,0.19472098214285713,0.4656340777873993,0.20592633928571427,False,0.0003125,0.000390625,0.000234375,0.0561328125,0.05328125,0.058984375,0.351640625,0.36375,0.33953125,0.45921875,0.453984375,0.464453125,0.1838671875,0.1996875,0.168046875,0.193671875,0.210703125,0.176640625,0.196640625,0.212421875,0.180859375
16,9,0.45023587346076965,0.19460714285714287,0.19447991071428572,0.194734375,0.465448796749115,0.2058203125,True,0.0002734375,0.0003125,0.000234375,0.0560546875,0.0534375,0.058671875,0.351484375,0.36390625,0.3390625,0.4592578125,0.453984375,0.46453125,0.18375,0.19953125,0.16796875,0.1935546875,0.2103125,0.176796875,0.1963671875,0.211796875,0.1809375
16,10,0.45002374053001404,0.19336830357142856,0.19200669642857143,0.19472991071428572,0.4652695655822754,0.2047879464285714,True,0.000234375,0.000234375,0.000234375,0.055390625,0.0521875,0.05859375,0.3503515625,0.361328125,0.339375,0.4595703125,0.4546875,0.464453125,0.1819140625,0.1959375,0.167890625,0.1915234375,0.206328125,0.17671875,0.19453125,0.208125,0.1809375
16,11,0.44984039664268494,0.19329017857142858,0.19199330357142858,0.19458705357142858,0.4650746285915375,0.20467075892857145,True,0.0003515625,0.000234375,0.00046875,0.055546875,0.052109375,0.058984375,0.3502734375,0.36125,0.339296875,0.45953125,0.4546875,0.464375,0.1815625,0.1959375,0.1671875,0.191171875,0.206328125,0.176015625,0.1942578125,0.208125,0.180390625
16,12,0.4496690630912781,0.1932377232142857,0.19196651785714286,0.19450892857142857,0.4649340510368347,0.20455357142857142,True,0.0003515625,0.000234375,0.00046875,0.0554296875,0.052109375,0.05875,0.3500390625,0.36140625,0.338671875,0.459609375,0.45484375,0.464375,0.18125,0.195234375,0.167265625,0.1909375,0.205703125,0.176171875,0.1942578125,0.20796875,0.180546875
16,13,0.4495280683040619,0.1932924107142857,0.19194642857142857,0.19463839285714285,0.46488484740257263,0.2045591517857143,False,0.0003515625,0.000234375,0.00046875,0.0554296875,0.05203125,0.058828125,0.3503515625,0.36140625,0.339296875,0.4596484375,0.45484375,0.464453125,0.1811328125,0.195234375,0.16703125,0.1908203125,0.205703125,0.1759375,0.1941796875,0.20796875,0.180390625
16,14,0.44941189885139465,0.19325669642857143,0.19194419642857144,0.19456919642857143,0.46469831466674805,0.2044475446428571,True,0.0003515625,0.000234375,0.00046875,0.0553125,0.052109375,0.058515625,0.3500390625,0.360625,0.339453125,0.45953125,0.454453125,0.464609375,0.18078125,0.194609375,0.166953125,0.1909765625,0.205703125,0.17625,0.194140625,0.20796875,0.1803125
16,15,0.44929051399230957,0.19324441964285713,0.19191741071428572,0.19457142857142856,0.46450015902519226,0.20440848214285715,True,0.0003515625,0.000234375,0.00046875,0.0552734375,0.05203125,0.058515625,0.35,0.360625,0.339375,0.4594921875,0.454375,0.464609375,0.1808984375,0.194765625,0.16703125,0.19078125,0.20546875,0.17609375,0.1940625,0.2078125,0.1803125
16,16,0.4492023289203644,0.19323660714285715,0.19192857142857142,0.19454464285714285,0.4644940197467804,0.2044140625,False,0.0003515625,0.000234375,0.00046875,0.05515625,0.051953125,0.058359375,0.35,0.360625,0.339375,0.459609375,0.45453125,0.4646875,0.180859375,0.194765625,0.166953125,0.190859375,0.205390625,0.176328125,0.1940625,0.207734375,0.180390625
16,17,0.4491233229637146,0.19317857142857142,0.19193080357142858,0.1944263392857143,0.46439069509506226,0.20439174107142857,True,0.0003515625,0.000234375,0.00046875,0.0551953125,0.051953125,0.0584375,0.3501171875,0.360546875,0.3396875,0.4596484375,0.454609375,0.4646875,0.18078125,0.19484375,0.16671875,0.190625,0.20546875,0.17578125,0.1940234375,0.2078125,0.180234375
16,18,0.44905155897140503,0.19313058035714287,0.19186830357142856,0.19439285714285715,0.4643206000328064,0.20441406249999997,False,0.0003515625,0.000234375,0.00046875,0.0552734375,0.052109375,0.0584375,0.35,0.36046875,0.33953125,0.4597265625,0.454765625,0.4646875,0.18078125,0.194921875,0.166640625,0.190703125,0.20546875,0.1759375,0.1940625,0.207890625,0.180234375
