condition,probability_count,probability_minimum,probability_maximum,probability_mean,probability_standard_deviation,probability_median,fraction_0.45_to_0.55,correct_prediction_confidence,incorrect_prediction_confidence,false_zero_count,false_one_count,target_one_frequency,predicted_one_frequency,zero_ber_bit_positions,always_zero_positions,always_one_positions
clean,25600,0.021928925067186356,0.9855901598930359,0.5279223918914795,0.43327558040618896,0.8157535195350647,0.000234375,0.8640984296798706,0.20836904644966125,0,5,0.5062109375,0.50640625,124,0,0
resize75,25600,0.021928925067186356,0.9855901598930359,0.5310044288635254,0.4013124108314514,0.6562058925628662,0.01265625,0.8033215403556824,0.5799478888511658,1003,1419,0.5062109375,0.5224609375,0,0,0
resize50,25600,0.021928925067186356,0.9855901598930359,0.5160625576972961,0.38950368762016296,0.6409680247306824,0.013828125,0.7661755681037903,0.5949860215187073,1244,1659,0.5062109375,0.522421875,0,0,0
resize25,25600,0.021928925067186356,0.9855901598930359,0.34740889072418213,0.3502962589263916,0.10936668515205383,0.0230078125,0.7331199645996094,0.7306576371192932,9068,3864,0.5062109375,0.3029296875,0,0,0
