row_id,base_pair_index,image_filename,payload_index,payload_fingerprint,condition,classical_ber,cnn_ber,cnn_mean_probability,cnn_mean_confidence
31,7,5233987.png,1,562ad2f2109cae3619543092025635e1e62165029cd1d988637f4f895bf445be,resize25,0.5546875,0.5546875,0.31738877296447754,0.7435242533683777
32,8,5233992.png,0,eb9e572d2bbbfe7774b6733206b3a62fbee85473a19531b2c3065bfc327d639f,clean,0.0,0.0,0.5236414670944214,0.879467248916626
33,8,5233992.png,0,eb9e572d2bbbfe7774b6733206b3a62fbee85473a19531b2c3065bfc327d639f,resize75,0.171875,0.1875,0.5360785722732544,0.8074722290039062
34,8,5233992.png,0,eb9e572d2bbbfe7774b6733206b3a62fbee85473a19531b2c3065bfc327d639f,resize50,0.1328125,0.1484375,0.515473484992981,0.7520407438278198
35,8,5233992.png,0,eb9e572d2bbbfe7774b6733206b3a62fbee85473a19531b2c3065bfc327d639f,resize25,0.5390625,0.5234375,0.42723292112350464,0.6918163299560547
36,9,5233992.png,1,6334e0585d4527ba31e4cb2387bf040a7d95da486545bd4fb064b50c4da92f11,clean,0.0,0.0,0.6092935800552368,0.8912383317947388
37,9,5233992.png,1,6334e0585d4527ba31e4cb2387bf040a7d95da486545bd4fb064b50c4da92f11,resize75,0.1875,0.1796875,0.5425893068313599,0.8027160167694092
38,9,5233992.png,1,6334e0585d4527ba31e4cb2387bf040a7d95da486545bd4fb064b50c4da92f11,resize50,0.140625,0.1484375,0.5789378881454468,0.7910234332084656
39,9,5233992.png,1,6334e0585d4527ba31e4cb2387bf040a7d95da486545bd4fb064b50c4da92f11,resize25,0.5625,0.578125,0.4270753860473633,0.692131519317627
40,10,5233997.png,0,3d21315e3a262473d99866ce2b403f5cb7cbd121aced9e0d45ab436e4eb44ae1,clean,0.0,0.0,0.5423980951309204,0.8755916357040405
41,10,5233997.png,0,3d21315e3a262473d99866ce2b403f5cb7cbd121aced9e0d45ab436e4eb44ae1,resize75,0.1171875,0.1484375,0.5723738670349121,0.7940547466278076
42,10,5233997.png,0,3d21315e3a262473d99866ce2b403f5cb7cbd121aced9e0d45ab436e4eb44ae1,resize50,0.078125,0.1015625,0.5721943974494934,0.797762930393219
43,10,5233997.png,0,3d21315e3a262473d99866ce2b403f5cb7cbd121aced9e0d45ab436e4eb44ae1,resize25,0.53125,0.5078125,0.5324817895889282,0.6908344626426697
44,11,5233997.png,1,856c00c660e07dd3261494490bf5e0ea19fe0fd757b50c67cab357a3be12b162,clean,0.0,0.0,0.44560104608535767,0.8553782105445862
45,11,5233997.png,1,856c00c660e07dd3261494490bf5e0ea19fe0fd757b50c67cab357a3be12b162,resize75,0.125,0.1328125,0.45138978958129883,0.7605343461036682
46,11,5233997.png,1,856c00c660e07dd3261494490bf5e0ea19fe0fd757b50c67cab357a3be12b162,resize50,0.0625,0.125,0.4750085473060608,0.7652464509010315
47,11,5233997.png,1,856c00c660e07dd3261494490bf5e0ea19fe0fd757b50c67cab357a3be12b162,resize25,0.4375,0.4453125,0.5324273705482483,0.690725564956665
48,12,5234033.png,0,c47d135ea75bfce02c57f551080bada0deb20335f9f7f9acd88a66e2cb92fd6e,clean,0.0,0.0,0.46129465103149414,0.8625472784042358
49,12,5234033.png,0,c47d135ea75bfce02c57f551080bada0deb20335f9f7f9acd88a66e2cb92fd6e,resize75,0.0703125,0.0859375,0.5063180923461914,0.8050597906112671
50,12,5234033.png,0,c47d135ea75bfce02c57f551080bada0deb20335f9f7f9acd88a66e2cb92fd6e,resize50,0.140625,0.15625,0.5343664884567261,0.7819591760635376
51,12,5234033.png,0,c47d135ea75bfce02c57f551080bada0deb20335f9f7f9acd88a66e2cb92fd6e,resize25,0.4453125,0.46875,0.428610622882843,0.6713732481002808
52,13,5234033.png,1,a9b4a7244b9eb4a3b7ff880e398b7899f9be3b42c51ef2efa7de8a6271a5ec75,clean,0.0,0.0,0.5442677736282349,0.8731299638748169
