epoch,train_bce,train_ber,train_lh2_ber,train_hl2_ber,validation_bce,validation_macro_ber,is_best_checkpoint,train_clean_ber,train_clean_lh2_ber,train_clean_hl2_ber,train_clean_perfect_payloads,validation_clean_ber,validation_clean_lh2_ber,validation_clean_hl2_ber,validation_clean_perfect_payloads,train_jpeg90_ber,train_jpeg90_lh2_ber,train_jpeg90_hl2_ber,train_jpeg90_perfect_payloads,validation_jpeg90_ber,validation_jpeg90_lh2_ber,validation_jpeg90_hl2_ber,validation_jpeg90_perfect_payloads,train_jpeg70_ber,train_jpeg70_lh2_ber,train_jpeg70_hl2_ber,train_jpeg70_perfect_payloads,validation_jpeg70_ber,validation_jpeg70_lh2_ber,validation_jpeg70_hl2_ber,validation_jpeg70_perfect_payloads,train_jpeg50_ber,train_jpeg50_lh2_ber,train_jpeg50_hl2_ber,train_jpeg50_perfect_payloads,validation_jpeg50_ber,validation_jpeg50_lh2_ber,validation_jpeg50_hl2_ber,validation_jpeg50_perfect_payloads,train_reencode1_ber,train_reencode1_lh2_ber,train_reencode1_hl2_ber,train_reencode1_perfect_payloads,validation_reencode1_ber,validation_reencode1_lh2_ber,validation_reencode1_hl2_ber,validation_reencode1_perfect_payloads,train_reencode2_ber,train_reencode2_lh2_ber,train_reencode2_hl2_ber,train_reencode2_perfect_payloads,validation_reencode2_ber,validation_reencode2_lh2_ber,validation_reencode2_hl2_ber,validation_reencode2_perfect_payloads,train_reencode3_ber,train_reencode3_lh2_ber,train_reencode3_hl2_ber,train_reencode3_perfect_payloads,validation_reencode3_ber,validation_reencode3_lh2_ber,validation_reencode3_hl2_ber,validation_reencode3_perfect_payloads
11,0.449443519115448,0.19333370535714287,0.19212723214285715,0.19454017857142858,0.4650880992412567,0.20486607142857144,False,0.000390625,0.00028125,0.0005,950,0.000390625,0.0003125,0.00046875,190,0.0650546875,0.054765625,0.07534375,7,0.055703125,0.051953125,0.059453125,1,0.331640625,0.33840625,0.324875,0,0.35,0.360546875,0.339453125,0,0.449671875,0.450359375,0.448984375,0,0.4595703125,0.453515625,0.465625,0,0.1588359375,0.156921875,0.16075,0,0.1816015625,0.1959375,0.167265625,0,0.1718125,0.1701875,0.1734375,0,0.19171875,0.206875,0.1765625,0,0.1759296875,0.17396875,0.177890625,0,0.195078125,0.208515625,0.181640625,0
12,0.4493228495121002,0.1933392857142857,0.19215848214285713,0.1945200892857143,0.464927077293396,0.20484933035714284,False,0.000390625,0.00028125,0.0005,950,0.000390625,0.0003125,0.00046875,190,0.065140625,0.05484375,0.0754375,7,0.055546875,0.051875,0.05921875,1,0.3315546875,0.33834375,0.324765625,0,0.3503515625,0.36078125,0.339921875,0,0.4496328125,0.450390625,0.448875,0,0.4595703125,0.453515625,0.465625,0,0.1589609375,0.15703125,0.160890625,0,0.1816015625,0.19625,0.166953125,0,0.171765625,0.170171875,0.173359375,0,0.191640625,0.206796875,0.176484375,0,0.1759296875,0.174046875,0.1778125,0,0.19484375,0.208515625,0.181171875,0
13,0.4492243230342865,0.1932935267857143,0.19213169642857142,0.19445535714285714,0.4648467004299164,0.20496093749999997,False,0.000390625,0.00028125,0.0005,950,0.000390625,0.0003125,0.00046875,190,0.0651171875,0.05490625,0.075328125,7,0.055390625,0.051328125,0.059453125,1,0.3315859375,0.338484375,0.3246875,0,0.350546875,0.361171875,0.339921875,0,0.44971875,0.450453125,0.448984375,0,0.4597265625,0.4534375,0.466015625,0,0.1586953125,0.1566875,0.160703125,0,0.181796875,0.19625,0.16734375,0,0.1717109375,0.17015625,0.173265625,0,0.191953125,0.207109375,0.176796875,0,0.1758359375,0.173953125,0.17771875,0,0.194921875,0.208515625,0.181328125,0
14,0.44913700222969055,0.19321875,0.1919732142857143,0.1944642857142857,0.4647230803966522,0.20489397321428574,False,0.000375,0.00025,0.0005,952,0.000390625,0.0003125,0.00046875,190,0.06503125,0.0546875,0.075375,7,0.0554296875,0.0515625,0.059296875,1,0.3315234375,0.338328125,0.32471875,0,0.350546875,0.361171875,0.339921875,0,0.4497890625,0.450578125,0.449,0,0.459921875,0.45390625,0.4659375,0,0.1585390625,0.156359375,0.16071875,0,0.1815234375,0.195859375,0.1671875,0,0.17153125,0.1698125,0.17325,0,0.191796875,0.206953125,0.176640625,0,0.1757421875,0.173796875,0.1776875,0,0.1946484375,0.208359375,0.1809375,0
15,0.4490434229373932,0.19328683035714286,0.19198660714285715,0.19458705357142858,0.4645802974700928,0.20489397321428574,False,0.000359375,0.00025,0.00046875,954,0.000390625,0.0003125,0.00046875,190,0.0651015625,0.054703125,0.0755,7,0.0555859375,0.0515625,0.059609375,1,0.331640625,0.338171875,0.325109375,0,0.3505078125,0.3609375,0.340078125,0,0.4498203125,0.45065625,0.448984375,0,0.459921875,0.453828125,0.466015625,0,0.1586484375,0.1564375,0.160859375,0,0.1814453125,0.19546875,0.167421875,0,0.17165625,0.16990625,0.17340625,0,0.191875,0.20671875,0.17703125,0,0.17578125,0.17378125,0.17778125,0,0.19453125,0.20828125,0.18078125,0
16,0.44895005226135254,0.19315401785714287,0.191890625,0.19441741071428573,0.46449533104896545,0.20486607142857144,False,0.000359375,0.00025,0.00046875,954,0.000390625,0.0003125,0.00046875,190,0.0650234375,0.0545625,0.075484375,7,0.05546875,0.051640625,0.059296875,1,0.33146875,0.338078125,0.324859375,0,0.350390625,0.361171875,0.339609375,0,0.4496796875,0.45071875,0.448640625,0,0.4596484375,0.45390625,0.465390625,0,0.1584296875,0.15634375,0.160515625,0,0.181328125,0.195234375,0.167421875,0,0.171421875,0.169625,0.17321875,0,0.1921484375,0.206875,0.177421875,0,0.1756953125,0.17365625,0.177734375,0,0.1946875,0.208359375,0.181015625,0
17,0.4488808214664459,0.19311941964285714,0.19188839285714285,0.19435044642857144,0.4644162356853485,0.2048604910714286,False,0.000375,0.00025,0.0005,953,0.000390625,0.0003125,0.00046875,190,0.0649375,0.054421875,0.075453125,7,0.0553515625,0.05140625,0.059296875,1,0.3315859375,0.338359375,0.3248125,0,0.3504296875,0.361328125,0.33953125,0,0.449734375,0.450828125,0.448640625,0,0.4597265625,0.4540625,0.465390625,0,0.1582578125,0.156203125,0.1603125,0,0.1813671875,0.195546875,0.1671875,0,0.171359375,0.169625,0.17309375,0,0.19203125,0.20703125,0.17703125,0,0.1755859375,0.17353125,0.177640625,0,0.1947265625,0.208828125,0.180625,0
18,0.4488151967525482,0.19310714285714287,0.191859375,0.1943549107142857,0.46430617570877075,0.2048046875,True,0.000375,0.00025,0.0005,953,0.000390625,0.0003125,0.00046875,190,0.06490625,0.054390625,0.075421875,7,0.0553125,0.05140625,0.05921875,1,0.3315234375,0.33828125,0.324765625,0,0.350546875,0.3615625,0.33953125,0,0.4497734375,0.450921875,0.448625,0,0.4596484375,0.453984375,0.4653125,0,0.1582734375,0.1561875,0.160359375,0,0.18125,0.195390625,0.167109375,0,0.1713125,0.1695,0.173125,0,0.191796875,0.206953125,0.176640625,0,0.1755859375,0.173484375,0.1776875,0,0.1946875,0.20875,0.180625,0
19,0.4487561285495758,0.1930859375,0.191828125,0.19434375,0.4642285704612732,0.20479910714285712,True,0.0003671875,0.00025,0.000484375,954,0.000390625,0.0003125,0.00046875,190,0.064828125,0.05428125,0.075375,7,0.0553125,0.05140625,0.05921875,1,0.33153125,0.33828125,0.32478125,0,0.3505078125,0.361484375,0.33953125,0,0.44975,0.45084375,0.44865625,0,0.4597265625,0.454140625,0.4653125,0,0.1582890625,0.156234375,0.16034375,0,0.18125,0.195390625,0.167109375,0,0.1712890625,0.16946875,0.173109375,0,0.1917578125,0.206875,0.176640625,0,0.175546875,0.1734375,0.17765625,0,0.1946484375,0.208671875,0.180625,0
20,0.44870296120643616,0.19309709821428572,0.19183258928571428,0.19436160714285713,0.464183509349823,0.20477120535714285,True,0.0003671875,0.00025,0.000484375,954,0.000390625,0.0003125,0.00046875,190,0.0648515625,0.054234375,0.07546875,7,0.0555859375,0.051953125,0.05921875,1,0.331484375,0.338203125,0.324765625,0,0.3501953125,0.360859375,0.33953125,0,0.449640625,0.450578125,0.448703125,0,0.4594921875,0.45359375,0.465390625,0,0.1583671875,0.156359375,0.160375,0,0.1813671875,0.195625,0.167109375,0,0.171375,0.1696875,0.1730625,0,0.1917578125,0.206875,0.176640625,0,0.17559375,0.173515625,0.177671875,0,0.194609375,0.20859375,0.180625,0
